COADD_ID,COMPOUND_CODE,PROJECT_ID,LIBRARY_NAME,ASSAY_ID,ORGANISM,STRAIN,NASSAYS,INHIB_AVE,INHIB_STD,CONC,SMILES,DRVAL_TYPE,DRVAL_MEDIAN,DRVAL_UNIT,DMAX_AVE,MIC_OPERATOR,MW,logP,TPSA,HBD,HBA,RotBonds,Rings,ArRings,QED,MIC_VALUE_uM
CO-ADD:0237091,MMV688936,CO-ADD:PL0022,MMV (CH) - Pathogen Box,GN_001,Escherichia coli,ATCC 25922,2,11.93,0.01,20 uM,Clc1cccc2sc(nc12)N(CCCn3ccnc3)C(=O)c4occc4,MIC,>10,uM,4.15,>,386.8640000000001,4.476300000000004,64.16,0,5,6,4,4,0.4898701504283531,10.0
CO-ADD:0237427,MMV688330,CO-ADD:PL0022,MMV (CH) - Pathogen Box,GN_001,Escherichia coli,ATCC 25922,2,5.34,1.24,20 uM,CC(=O)N1CCN(CC1)c1ccc(Oc2ccc(Cl)cc2O)cc1,MIC,>10,uM,3.95,>,346.8140000000001,3.506400000000002,53.010000000000005,1,4,3,3,2,0.923692843636496,10.0
CO-ADD:0238633,CF-0195,CO-ADD:PC0274,University of Warwick (UK),GN_001,Escherichia coli,ATCC 25922,2,99.39,1.06,32 ug/mL,CC1=C(C2=CC=C(C=C2)C3=CC=CC=C3)C(C)=C(C)C1C.NC4=NC(N(C)C)=N[Ir@](C)(N4)Cl,MIC,16,ug/mL,97.25,=,644.263,6.120900000000007,66.00999999999999,2,5,2,4,2,0.4145350453978089,24.834578425270426
CO-ADD:0229928,A0841/0039423,CO-ADD:PC0246,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,11.94,2.6,32 ug/mL,C(=N\c1ccccc1CC)(/c2c(N3)ccc(Br)c2)\C3=O,MIC,>32,ug/mL,12.35,>,329.19700000000006,4.084400000000002,41.46,1,2,2,3,2,0.885985340289266,97.20623213455771
CO-ADD:0230875,A0978/0045707,CO-ADD:PC0247,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,-2.01,10.97,32 ug/mL,C(=C/c(ccc(c1OC)OC)c1)(/c(cc(cc2[N+](=O)[O-])[N+](=O)[O-])c23)\c(cc(cc4[N+](=O)[O-])[N+](=O)[O-])c34,MIC,>32,ug/mL,11.7,>,494.3720000000003,4.905900000000004,191.02,0,10,7,4,3,0.25180684326257613,64.72858495222218
CO-ADD:0228494,A0901/0042318,CO-ADD:PC0245,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,2.33,3.45,32 ug/mL,N1(C(c2ccccc2)c3ccccc3)C(=O)c4c(c5C1=O)c(ccc4)ccc5,MIC,>32,ug/mL,13.05,>,363.41600000000005,5.225400000000004,37.38,0,2,3,5,4,0.46774910559741895,88.05336033636382
CO-ADD:0235005,A1109/0052136,CO-ADD:PC0260,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,4.77,2.43,32 ug/mL,C(=O)(Oc1cccc(c1)\C=N\NC(CNC(=O)c2ccco2)=O)c3cccc(F)c3,MIC,>32,ug/mL,14.45,>,409.3730000000001,2.5180000000000007,110.0,2,6,7,3,3,0.269697231736501,78.16832082233071
CO-ADD:0230599,A0974/0045554,CO-ADD:PC0247,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,17.78,1.58,32 ug/mL,C(F)(F)(COc1ccccc1\N=C\c(cc(Cl)cc2Cl)c2O)C(F)F,MIC,>32,ug/mL,20.45,>,396.16700000000003,5.728800000000003,41.82,1,3,6,2,2,0.500765633472591,80.77401701807571
CO-ADD:0228237,A0889/0041719,CO-ADD:PC0245,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,0.04,7.06,32 ug/mL,N1C(=O)\C(\SC1=N)=C/c(ccc2c3ccccc3[N+](=O)[O-])o2,MIC,>32,ug/mL,25.4,>,315.31000000000006,2.993470000000001,109.23,2,6,3,3,2,0.5138311256850633,101.48742507373694
CO-ADD:0228948,A0942/0044126,CO-ADD:PC0245,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,4.16,2.25,32 ug/mL,C(=C\c(ccc(c12)OCO1)c2)(/c3c4cccc3)\c5c4ccc(C(CCCCN6CCCCC6)=O)c5.Cl,MIC,>32,ug/mL,13.75,>,502.0540000000005,7.245300000000007,38.77,0,4,7,6,3,0.19738717859365837,63.73816362383323
CO-ADD:0228756,A0920/0043055,CO-ADD:PC0245,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,3.72,1.07,32 ug/mL,C(/NC1CCCCC1)(\C(OCC)=O)=N/Nc2ccccc2,MIC,>32,ug/mL,11.85,>,289.379,2.897400000000001,62.72,2,4,4,2,1,0.3870737960875238,110.58162478963573
CO-ADD:0235948,A1145/0053561,CO-ADD:PC0260,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,1.0,2.18,32 ug/mL,C(=O)(c1ccc(cc1)Cl)Oc2ccccc2\C=N\Nc3cccc(C)c3,MIC,>32,ug/mL,13.9,>,364.83200000000005,5.313620000000005,50.69,1,4,5,3,3,0.2885436812918872,87.71160424524163
CO-ADD:0235204,A1114/0052367,CO-ADD:PC0260,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,7.6,4.74,32 ug/mL,C(=O)(c1cccc(C)c1)Oc2ccc(cc2OC)C=O,MIC,>32,ug/mL,11.75,>,270.284,3.0353200000000014,52.6,0,4,4,2,2,0.48656248124321233,118.39398558553226
CO-ADD:0230788,A0958/0044733,CO-ADD:PC0247,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,2.29,2.31,32 ug/mL,S(NCCC(=O)N\N=C\c(cccc1[N+](=O)[O-])c1)(=O)(=O)c(cc2)ccc2[N+](=O)[O-],MIC,>32,ug/mL,12.2,>,421.3910000000002,1.3216999999999994,173.90999999999997,2,8,9,2,2,0.34856637036980054,75.93897354238696
CO-ADD:0222977,A0759/0035476,CO-ADD:PC0239,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,18.68,0.07,32 ug/mL,N1(CNc(cc2)ccc2I)C(=O)\C(\SC1=S)=C\c3cccc(Cl)c3Cl,MIC,>32,ug/mL,32.75,>,521.2320000000002,5.868800000000002,32.34,1,4,4,3,2,0.31026773694814447,61.39300733646435
CO-ADD:0228930,A0942/0044096,CO-ADD:PC0245,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,4.49,0.72,32 ug/mL,C(NCCCCCCCCCCCCCCCCCC)(=O)c1ccc(cc1)NC(CCCCCCCCC)=O,MIC,>32,ug/mL,15.45,>,542.8930000000004,10.757099999999994,58.2,2,2,27,1,1,0.1085969045420844,58.94347504941117
CO-ADD:0230360,A0932/0043648,CO-ADD:PC0247,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,6.21,0.33,32 ug/mL,s1c(N)nnc1SCc2ccc(cc2C)C,MIC,>32,ug/mL,20.2,>,251.38,3.029440000000002,51.8,1,5,3,2,2,0.851907915485109,127.29731880022277
CO-ADD:0223262,A0769/0035965,CO-ADD:PC0239,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,8.9,3.01,32 ug/mL,[N+](=O)([O-])c1c(Cl)ccc(c1)\N=C\c(cccc2[N+](=O)[O-])c2,MIC,>32,ug/mL,16.8,>,305.6770000000001,3.907000000000002,98.64,0,5,4,2,2,0.48543493241147556,104.6856649339008
